id;name;is_active
ABH;Абхазия;TRUE
ABW;Аруба;TRUE
AFG;Афганистан;TRUE
AGO;Ангола;TRUE
AIA;Ангилья;TRUE
ALA;Эландские Острова;TRUE
ALB;Албания;TRUE
AND;Андорра;TRUE
ANT;Антильские острова (Нидерландские Антилы);TRUE
ARE;Объединенные Арабские Эмираты;TRUE
ARG;Аргентина;TRUE
ARM;Армения;TRUE
ASM;Американское Самоа;TRUE
ATA;Антарктида;TRUE
ATF;Французские Южные Территории;TRUE
ATG;Антигуа и Барбуда;TRUE
AUS;Австралия;TRUE
AUT;Австрия;TRUE
AZE;Азербайджан;TRUE
BDI;Бурунди;TRUE
BEL;Бельгия;TRUE
BEN;Бенин;TRUE
BES;Бонэйр, Синт-Эстатиус и Саба;TRUE
BFA;Буркина-Фасо;TRUE
BGD;Бангладеш;TRUE
BGR;Болгария;TRUE
BHR;Бахрейн;TRUE
BHS;Багамы;TRUE
BIH;Босния и Герцеговина;TRUE
BLM;Сен-Бартелеми;TRUE
BLR;Беларусь;TRUE
BLZ;Белиз;TRUE
BMU;Бермуды;TRUE
BOL;Боливия, Многонациональное Государство;TRUE
BRA;Бразилия;TRUE
BRB;Барбадос;TRUE
BRN;Бруней-Даруссалам;TRUE
BTN;Бутан;TRUE
BVT;Остров Буве;TRUE
BWA;Ботсвана;TRUE
CAF;Центрально-Африканская Республика;TRUE
CAN;Канада;TRUE
CCK;Кокосовые (Килинг) Острова;TRUE
CHE;Швейцария;TRUE
CHL;Чили;TRUE
CHN;Китай;TRUE
CMR;Камерун;TRUE
COD;Конго, Демократическая Республика;TRUE
COG;Конго;TRUE
COK;Острова Кука;TRUE
COL;Колумбия;TRUE
CPV;Кабо-Верде;TRUE
CRI;Коста-Рика;TRUE
CUB;Куба;TRUE
CUW;Кюрасао;TRUE
CXR;Остров Рождества;TRUE
CYM;Острова Кайман;TRUE
CYP;Кипр;TRUE
CZE;Чешская Республика;TRUE
DEU;Германия;TRUE
DJI;Джибути;TRUE
DMA;Доминика;TRUE
DNK;Дания;TRUE
DOM;Доминиканская Республика;TRUE
DZA;Алжир;TRUE
ECU;Эквадор;TRUE
EGY;Египет;TRUE
ERI;Эритрея;TRUE
ESH;Западная Сахара;TRUE
ESP;Испания;TRUE
EST;Эстония;TRUE
ETH;Эфиопия;TRUE
FIN;Финляндия;TRUE
FJI;Фиджи;TRUE
FLK;Фолклендские Острова (Мальвинские);TRUE
FRA;Франция;TRUE
FRO;Фарерские Острова;TRUE
FSM;Микронезия, Федеративные Штаты;TRUE
GAB;Габон;TRUE
GBR;Соединенное Королевство;TRUE
GEO;Грузия;TRUE
GGY;Гернси;TRUE
GHA;Гана;TRUE
GIB;Гибралтар;TRUE
GIN;Гвинея;TRUE
GLP;Гваделупа;TRUE
GMB;Гамбия;TRUE
GNB;Гвинея-Бисау;TRUE
GNQ;Экваториальная Гвинея;TRUE
GRC;Греция;TRUE
GRD;Гренада;TRUE
GRL;Гренландия;TRUE
GTM;Гватемала;TRUE
GUF;Французская Гвиана;TRUE
GUM;Гуам;TRUE
GUY;Гайана;TRUE
HKG;Гонконг;TRUE
HMD;Остров Херд и Острова Макдональд;TRUE
HND;Гондурас;TRUE
HRV;Хорватия;TRUE
HTI;Гаити;TRUE
HUN;Венгрия;TRUE
IDN;Индонезия;TRUE
IMN;Остров Мэн;TRUE
IND;Индия;TRUE
IOT;Британская Территория в Индийском Океане;TRUE
IRL;Ирландия;TRUE
IRN;Иран, Исламская Республика;TRUE
IRQ;Ирак;TRUE
ISL;Исландия;TRUE
ISR;Израиль;TRUE
ITA;Италия;TRUE
JAM;Ямайка;TRUE
JEY;Джерси;TRUE
JOR;Иордания;TRUE
JPN;Япония;TRUE
KAZ;Казахстан;TRUE
KEN;Кения;TRUE
KGZ;Киргизия;TRUE
KHM;Камбоджа;TRUE
KIR;Кирибати;TRUE
KNA;Сент-Китс и Невис;TRUE
KOR;Корея, Республика;TRUE
KWT;Кувейт;TRUE
LAO;Лаосская Народно-Демократическая Республика;TRUE
LBN;Ливан;TRUE
LBR;Либерия;TRUE
LBY;Ливия;TRUE
LCA;Сент-Люсия;TRUE
LIE;Лихтенштейн;TRUE
LKA;Шри-Ланка;TRUE
