id;name;is_active
1;Авиастроение;TRUE
2;Автомобилестроение;TRUE
3;Автомобильный транспорт;TRUE
4;Агропромышленный комплекс и пищевая промышленность;TRUE
5;Агропромышленный комплекс и пищевая промышленность (кроме сегментов; выделенных отдельно)
6;Атомная промышленность;TRUE
7;Банковская деятельность;TRUE
8;ВИНК;TRUE
9;Водный транспорт;TRUE
10;Воздушный транспорт;TRUE
11;Газодобывающая промышленность (включая транспортировку);TRUE
12;Генерация;TRUE
13;Горнодобывающая промышленность;TRUE
14;Горнодобывающая промышленность и металлургия;TRUE
15;Государственное и муниципальное управление;TRUE
16;Государственное и муниципальное управление (кроме сегментов; выделенных отдельно)
17;Государственное управление уровня субъекта РФ;TRUE
18;Государственное управление федерального уровня Российской Федерации;TRUE
19;Государственное управление центрального уровня иностранных государств;TRUE
20;Готовая недвижимость;TRUE
21;Драгоценные камни;TRUE
22;Драгоценные металлы и ювелирная промышленность;TRUE
23;Железнодорожное машиностроение;TRUE
24;Железнодорожный транспорт;TRUE
25;Жилищное и коммерческое строительство и операции с недвижимостью;TRUE
26;Жилищное и коммерческое строительство и операции с недвижимостью (кроме сегментов; выделенных отдельно)
27;Жилищно-коммунальное хозяйство;TRUE
28;Здравоохранение;TRUE
29;Здравоохранение и предоставление социальных услуг; медицинская промышленность
30;Здравоохранение и фармацевтическая промышленность;TRUE
31;Информационные технологии;TRUE
32;Инфраструктурное строительство;TRUE
33;Космическая промышленность;TRUE
34;Космическая промышленность и НПК;TRUE
35;Легкая промышленность;TRUE
36;Лесная деревообрабатывающая и целлюлозно-бумажная промышленность;TRUE
37;Лесная деревообрабатывающая, целлюлозно-бумажная промышленность и лесное хозяйство;TRUE
38;Лесная и деревообрабатывающая промышленность;TRUE
39;Лизинг;TRUE
40;Массмедиа. Издательская и полиграфическая деятельность;TRUE
41;Машиностроение;TRUE
42;Машиностроение и металлообработка (кроме оборонной промышленности);TRUE
43;Машиностроение и металлообработка (кроме сегментов выделенных отдельно);TRUE
44;Муниципальное управление;TRUE
45;Негосударственные пенсионные фонды;TRUE
46;Нефтедобывающая и нефтеперерабатывающая промышленность (включая транспортировку);TRUE
47;Нефтедобывающая и нефтеперерабатывающая промышленность трубопроводный транспорт (в части транспортировки нефти);TRUE
48;Нефтесервисные услуги;TRUE
49;Нефтехимическая промышленность;TRUE
50;Нефть и газ;TRUE
51;Оборонная промышленность;TRUE
52;Образование научные исследования и разработки;TRUE
53;Образование научные исследования и разработки (кроме оборонной промышленности);TRUE
54;Общественные и экстерриториальные организации;TRUE
55;Общественные объединения;TRUE
56;Оптовая торговля бытовыми и пищевыми товарами;TRUE
57;Оптовая торговля (кроме сегментов выделенных отдельно);TRUE
58;Оптовая торговля сырьевыми товарами;TRUE
59;Пищевая промышленность;TRUE
60;Потребительские товары;TRUE
61;Проектное финансирование;TRUE
62;Производство текстильных изделий;TRUE
63;Промышленность минеральных удобрений;TRUE
64;Промышленность строительных материалов и минеральной продукции;TRUE
65;Промышленность стройматериалов и производство прочих неметаллических минеральных продуктов;TRUE
66;Прочие услуги;TRUE
67;Розничная торговля автомобилями;TRUE
68;Розничная торговля бытовыми и пищевыми товарами;TRUE
69;Розничная торговля (кроме сегментов выделенных отдельно);TRUE
70;Розничная торговля нефтепродуктами;TRUE
71;Рыболовство и рыбоводство;TRUE
72;Сбыт;TRUE
73;Связь;TRUE
74;Сельское хозяйство;TRUE
75;Сети;TRUE
76;Страхование;TRUE
77;Строительные проекты;TRUE
78;Судостроение;TRUE
79;Телекоммуникации;TRUE
80;Телекоммуникации информационные технологии и медиа;TRUE
81;Торговля;TRUE
82;Транспорт и инфраструктурное строительство;TRUE
83;Транспорт (кроме воздушного водного трубопроводного и железнодорожного);TRUE
84;Транспортные и логистические услуги;TRUE
85;Угольная и горнодобывающая промышленность;TRUE
86;Управляющие компании холдингов;TRUE
87;Услуги;TRUE
88;Услуги финансового рынка;TRUE
89;Услуги финансового рынка: профессиональные участники рынка ценных бумаг;TRUE
90;Услуги финансового рынка: прочее;TRUE
91;Факторинг;TRUE
92;Фармацевтическая промышленность;TRUE
93;Федеральные органы государственной власти;TRUE
94;Финансы;TRUE
95;Финансы (кроме сегментов выделенных отдельно);TRUE
96;Химическая промышленность;TRUE
97;Химическая промышленность (кроме сегментов выделенных отдельно);TRUE
98;Химическая промышленность (кроме фармацевтической);TRUE
99;Холдинговые компании;TRUE
100;Цветная металлургия;TRUE
101;Целлюлозно-бумажная промышленность;TRUE
102;Черная металлургия;TRUE
103;Энергетика;TRUE
104;Энергомашиностроение;TRUE
105;Ювелирная промышленность;TRUE
