id;name;is_active
1;-;TRUE
2;Автономная некоммерческая организация;TRUE
3;Автономное учреждение;TRUE
4;Адвокат;TRUE
5;Адвокатские бюро;TRUE
6;Адвокатские бюро;TRUE
7;Адвокатские палаты;TRUE
8;Адвокатские палаты;TRUE
9;Акционерное общество;TRUE
10;Ассоциация (союз);TRUE
11;Благотворительное учреждение;TRUE
12;Благотворительный фонд;TRUE
13;Бюджетное учреждение;TRUE
14;Гаражные и гаражно-строительные кооперативы;TRUE
15;Гаражные и гаражно-строительные кооперативы;TRUE
16;Глава крестьянского (фермерского) хозяйства;TRUE
17;Глава крестьянского (фермерского) хозяйства;TRUE
18;Государственная академия наук;TRUE
19;Государственная компания;TRUE
20;Государственная корпорация;TRUE
21;Государственные автономные учреждения субъектов Российской Федерации;TRUE
22;Государственные автономные учреждения субъектов Российской Федерации;TRUE
23;Государственные бюджетные учреждения субъектов Российской Федерации;TRUE
24;Государственные бюджетные учреждения субъектов Российской Федерации;TRUE
25;Государственные казенные учреждения субъектов Российской Федерации;TRUE
26;Государственные казенные учреждения субъектов Российской Федерации;TRUE
27;Государственные унитарные предприятия субъектов Российской Федерации;TRUE
28;Государственные унитарные предприятия субъектов Российской Федерации;TRUE
29;Жилищные или жилищно-строительные кооперативы;TRUE
30;Жилищные или жилищно-строительные кооперативы;TRUE
31;Жилищные накопительные кооперативы;TRUE
32;Жилищные накопительные кооперативы;TRUE
33;Индивидуальный предприниматель;TRUE
34;Казачье общество;TRUE
35;Казенное предприятие;TRUE
36;Казенное учреждение;TRUE
37;Коллегии адвокатов;TRUE
38;Коллегии адвокатов;TRUE
39;Кооперативные хозяйства (коопхозы);TRUE
40;Кооперативные хозяйства (коопхозы);TRUE
41;Кредитные кооперативы второго уровня;TRUE
42;Кредитные кооперативы второго уровня;TRUE
43;Кредитные потребительские кооперативы;TRUE
44;Кредитные потребительские кооперативы;TRUE
45;Кредитные потребительские кооперативы граждан;TRUE
46;Кредитные потребительские кооперативы граждан;TRUE
47;Крестьянские (фермерские) хозяйства;TRUE
48;Крестьянские (фермерские) хозяйства;TRUE
49;Межправительственная международная организация;TRUE
50;Муниципальные автономные учреждения;TRUE
51;Муниципальные автономные учреждения;TRUE
52;Муниципальные бюджетные учреждения;TRUE
53;Муниципальные бюджетные учреждения;TRUE
54;Муниципальные казенные предприятия;TRUE
55;Муниципальные казенные предприятия;TRUE
56;Муниципальные казенные учреждения;TRUE
57;Муниципальные казенные учреждения;TRUE
58;Муниципальные унитарные предприятия;TRUE
59;Муниципальные унитарные предприятия;TRUE
60;Негосударственный пенсионный фонд;TRUE
61;Некоммерческие партнерства;TRUE
62;Некоммерческие партнерства;TRUE
63;Неправительственная международная организация;TRUE
64;Непубличное акционерное общество;TRUE
65;Нотариальные палаты;TRUE
66;Нотариальные палаты;TRUE
67;Нотариус;TRUE
68;Обособленные подразделения юридических лиц;TRUE
69;Обособленные подразделения юридических лиц;TRUE
70;Общества взаимного страхования;TRUE
71;Общества взаимного страхования;TRUE
72;Общественная организация;TRUE
73;Общественное учреждение;TRUE
74;Общественные движения;TRUE
75;Общественные движения;TRUE
76;Общественный фонд;TRUE
77;Общество с дополнительной ответственностью;TRUE
78;Общество с ограниченной ответственностью;TRUE
79;Община коренных малочисленных народов РФ;TRUE
80;Объединения (ассоциации и союзы) благотворительных организаций;TRUE
81;Объединения (ассоциации и союзы) благотворительных организаций;TRUE
82;Объединения работодателей;TRUE
83;Объединения работодателей;TRUE
84;Объединения фермерских хозяйств;TRUE
85;Объединения фермерских хозяйств;TRUE
86;Организационно-правовые формы для деятельности граждан; не отнесенной к предпринимательству
87;Организационно-правовые формы для деятельности граждан; не отнесенной к предпринимательству
88;ОРГАНИЗАЦИОННО-ПРАВОВЫЕ ФОРМЫ ДЛЯ ДЕЯТЕЛЬНОСТИ ГРАЖДАН (ФИЗИЧЕСКИХ ЛИЦ);TRUE
89;ОРГАНИЗАЦИОННО-ПРАВОВЫЕ ФОРМЫ ДЛЯ ДЕЯТЕЛЬНОСТИ ГРАЖДАН (ФИЗИЧЕСКИХ ЛИЦ);TRUE
90;Организационно-правовые формы для коммерческой деятельности граждан;TRUE
91;Организационно-правовые формы для коммерческой деятельности граждан;TRUE
92;ОРГАНИЗАЦИОННО-ПРАВОВЫЕ ФОРМЫ МЕЖДУНАРОДНЫХ ОРГАНИЗАЦИЙ; ОСУЩЕСТВЛЯЮЩИХ ДЕЯТЕЛЬНОСТЬ НА ТЕРРИТОРИИ РОССИЙСКОЙ ФЕДЕРАЦИИ
